longitude,latitude
103.8127058,1.287077496
103.8096328,1.274636589
103.8326083,1.290659806
103.8285841,1.292075251
103.7748564,1.374941101
103.7706606,1.377566635
103.7740547,1.381002047
103.7710676,1.388043942
103.7681207,1.387033455
103.7628543,1.386021061
103.7680736,1.380312263
103.7696137,1.383945101
103.7652187,1.385458629
103.7622013,1.386256101
103.7697491,1.376028005
103.7748106,1.373175165
103.7721445,1.388237313
103.7706474,1.378567561
103.7721445,1.388237313
103.7632483,1.382941791
103.7670418,1.387351938
103.7735478,1.374908823
103.7736063,1.37446598
103.7667078,1.388036222
103.7638472,1.387448623
103.7618376,1.386243403
103.7632483,1.382941791
103.759279,1.386528024
103.7708221,1.387291051
103.7658816,1.379245299
103.7688659,1.384319661
103.7718822,1.38840059
103.7689524,1.375502991
103.7659225,1.375224695
103.7631278,1.383721413
103.7687304,1.380554321
103.7718336,1.380072088
103.7620462,1.384366729
103.7642493,1.387846928
103.7637669,1.384221831
103.7651093,1.374816801
103.7651093,1.374816801
103.7651093,1.374816801
103.7663022,1.380215441
103.7653546,1.380387125
103.7615713,1.381295747
103.7633102,1.38691071
103.7709554,1.375346635
103.7661712,1.377129628
103.7745698,1.338512067
103.8072881,1.31655991
103.7720515,1.339310858
103.8388579,1.287674258
103.8547139,1.307435479
103.8522849,1.299009418
103.8425788,1.284858608
103.8430061,1.27624052
103.853991,1.300932673
103.8533475,1.296853111
103.8416667,1.277449094
103.8411918,1.275986995
103.8411918,1.275986995
103.8414034,1.277799407
103.7521037,1.377879046
103.7521037,1.377879046
103.7507074,1.378507992
103.7350124,1.377822649
103.7501081,1.378303571
103.7388888,1.380129649
103.7513772,1.40067816
103.7511824,1.37893678
103.7409574,1.382256818
103.7451317,1.403336108
103.7493193,1.394267658
103.7463673,1.380653749
103.7482874,1.379447503
103.7567829,1.379187865
103.7420833,1.383340496
103.7422483,1.382166605
103.7475484,1.379448772
103.7388888,1.380129649
103.7403107,1.382024147
103.7472052,1.399146409
103.7498724,1.400445995
103.7413523,1.382373008
103.7446458,1.398467599
103.7423816,1.381809725
103.7496029,1.397370942
103.7433975,1.382137071
103.7423816,1.381809725
103.7433975,1.382137071
103.734906,1.379978028
103.7503201,1.402989014
103.7512714,1.400209214
103.7497931,1.403134828
103.7472725,1.393027127
103.7437625,1.393717376
103.7515399,1.402776276
103.7384757,1.378569314
103.745926,1.379004596
103.7458781,1.398320829
103.7491625,1.39587445
103.7480217,1.402555018
103.741509,1.376847726
103.744674,1.39817542
103.7507884,1.401984751
103.7542399,1.377889646
103.7619437,1.303153603
103.7619437,1.303153603
103.7611077,1.307266926
103.7678534,1.304235925
103.7669837,1.319126186
103.7700552,1.317016551
103.7705953,1.321891018
103.7691398,1.319663167
103.7708614,1.31535007
103.7684327,1.315185027
103.7611077,1.307266926
103.766014,1.322061089
103.7687523,1.312406419
103.7682119,1.320574657
103.76481,1.313615679
103.7700032,1.310175719
103.763122,1.304777153
103.7628048,1.302409531
103.7620036,1.305330462
103.7694769,1.303697399
103.7628048,1.302409531
103.7708971,1.316777163
103.7695726,1.310879202
103.7660562,1.315141595
103.7671055,1.321415897
103.7663995,1.311099155
103.7634131,1.30310124
103.7633591,1.30360871
103.886047,1.326154695
103.8855449,1.326482283
103.8871836,1.329654615
103.8869767,1.331197214
103.8877853,1.330166195
103.8857036,1.325775271
103.8879265,1.325848576
103.8856201,1.332283325
103.8864784,1.328177824
103.8875087,1.33018852
103.8872036,1.32740031
103.8856108,1.325132403
103.8871836,1.329654615
103.9023304,1.323779951
103.8879265,1.325848576
103.9009954,1.33002587
103.8971871,1.312101244
103.8873475,1.308404778
103.8869253,1.329059635
103.895865,1.314846411
103.887754,1.318309195
103.9008049,1.320183255
103.8997531,1.326359384
103.8763541,1.31747603
103.8875854,1.32385645
103.8759946,1.317000196
103.8862935,1.32684924
103.8847523,1.318211531
103.8965912,1.312589174
103.886009,1.315993889
103.8996802,1.318594196
103.8833363,1.309443155
103.8798037,1.381916946
103.8904679,1.364285424
103.8812611,1.371437365
103.8920855,1.365512261
103.8900932,1.352773933
103.8837012,1.369847708
103.8823235,1.370513873
103.8948537,1.365667331
103.8865314,1.372052696
103.8869105,1.37506139
103.8869105,1.37506139
103.8950097,1.366659994
103.8876763,1.359256968
103.8969787,1.367098554
103.895756,1.366809108
103.8801654,1.352210257
103.8985723,1.370025457
103.8856792,1.372978403
103.8942188,1.364764652
103.8983512,1.36930321
103.898278,1.367101312
103.886918,1.371232979
103.8880773,1.367061427
103.8846458,1.372172878
103.8877953,1.350254259
103.8978204,1.368405832
103.8868101,1.349758254
103.8948313,1.376128653
103.8796786,1.37428772
103.8935974,1.377527211
103.888277,1.376702901
103.8802927,1.352653389
103.8942909,1.379118191
103.8838268,1.369297892
103.8953126,1.374094139
103.8951191,1.379115141
103.8828876,1.35302664
103.8904387,1.37994979
103.8970129,1.371907883
103.8899996,1.370363556
